,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
Marathon Oil,marathonoil.com,Public company,,1887,MRO,True,"Marathon Oil Tower, Houston, Texas, US",Texas,Marathon,XXLarge ($1B+),['Petroleum'],"['Natural gas', 'Marathon', 'Fuel']","['Marathon Petroleum', 'Husky Energy']","['Standard Oil', 'U.S. Steel', 'The Ohio Oil Company']","['Lee M. Tillman', 'Dane E. Whitehead']","Large (1,000-4,999 Employees)"
Allison Transmission,allisontransmission.com,Public company,,1915,ALSN,,"Indianapolis, Indiana, United States",Indiana,Indianapolis,XXLarge ($1B+),,,,,"['(  &', 'James A. Allison', 'David S. Graziosi']","Large (1,000-4,999 Employees)"
Xilinx,xilinx.com,Subsidiary,['AMD'],1984,,,"San Jose, California, US",California,San Jose,XXLarge ($1B+),['Integrated circuits'],"['CPLDs', 'FPGAs']",,,"['Ross Freeman', 'James V. Barnett II', 'Ivo Bolsens', 'Bernie Vonderschmitt', 'president', 'Brice Hill', 'Dennis Segers', 'Victor Peng', 'chairman']","Large (1,000-4,999 Employees)"
Motion Industries,motion.com,Subsidiary,['Genuine Parts Company'],1946,,,"Birmingham, Alabama, United States",Alabama,Birmingham,XXLarge ($1B+),['Industrial Equipment & Components'],,,['Owen Richards Co.'],['Randy Breaux (president)'],"XLarge (5000-10,000 Employees)"
Alagasco,alagasco.com,Subsidiary of Spire Inc,,1852,,True,"Birmingham, Alabama, United States",Alabama,Birmingham,,['Utilities'],['Natural gas provider'],,['Spire'],"['president', 'Ken Smith']","Large (1,000-4,999 Employees)"
Sharps Rifle Manufacturing Company,,Private,,1851,,True,"Bridgeport, Connecticut, US",Connecticut,Bridgeport,,['Firearms'],['Rifles'],,,"['John C. Palmer, Christian Sharps, Richard S. Lawrence', 'Samuel Robbins and Richard S. Lawrence']",
Weyerhaeuser,weyerhaeuser.com,Public,,1900,WY,,"Seattle, Washington, US",Washington,Seattle,XXLarge ($1B+),['Real estate investment trust'],['Forest products'],"['Domtar', 'Weyerhaeuser Real Estate Company', 'Plum Creek Timber', 'Willamette Industries, Inc.', ' Weyerhaeuser NR Co, Weyerhäuser Timber Company', 'De Queen and Eastern Railroad', ' Longview Timber', 'Texas, Oklahoma and Eastern Railroad']",,"['Devin Stockfish', 'Friedrich Weyerhäuser']","XLarge (5000-10,000 Employees)"
Airgas,,Subsidiary,['Air Liquide'],1982,,,"Radnor Township, Pennsylvania, United States",Pennsylvania,Radnor,,['Gas'],,"['Red-D-Arc Welderentals', 'Tech Air']",['(: AIQUY)'],"['Marcelo Fioranelli', 'Jay Worley', '(Airgas', 'Peter McCausland', '(Airgas )']","XXLarge (10,000+ Employees)"
RLI Corp.,rlicorp.com,Public,,1965,RLI,,"Peoria, Illinois, US",Illinois,Peoria,,['Insurance'],['Insurance'],,,"['Jonathan E. Michael', 'Craig W. Kliethermes', '(  &', '( , Chief Operating Officer)', 'Gerald D. Stephens']",Medium-Large (500-999 Employees)
Mercatus Center,mercatus.org,,,,,,,,,,,,,,,
HobbyTown USA,hobbytown.com,Private,,1985,,,"Lincoln, Nebraska, United States",Nebraska,Lincoln,,['Retail'],,,"['HobbyTown, HobbyTown USA']","[')', 'Founder', 'Bob Wilke', 'Thom Walla']",
Leggett %26 Platt,leggett.com,Public company,,1883,LEG,,"Carthage, Missouri, US",Missouri,Carthage,XXLarge ($1B+),"['Residential Bedding and Furniture', 'Automotive Seating', 'Industrial Materials']",,,,['J. Mitchell Dolloff'],"XXLarge (10,000+ Employees)"
Trailways Transportation System,trailways.com,,,1936,,,"Fairfax, Virginia",Virginia,Fairfax,,,,,,,
Vocelli Pizza,vocellipizza.com,Wholly owned subsidiary,,1988,,,"Pittsburgh, Pennsylvania, US",Pennsylvania,Pittsburgh,,['Fast food'],"['Pizza', 'Pasta']",,,"['(founders)', 'Seckin Ablak, Harry Ablak', 'Varol Ablak']",
Haskell (company),,Private,,1965,,,"Jacksonville, Florida, USA",Florida,Jacksonville,XXLarge ($1B+),"['Architecture, Engineering, Construction (AEC), Consulting']","['Design-build, program/facility/construction management, project planning, development, engineering']",,,"['Brad Slappey,   &', 'John Paul Saenz,   &', 'David Thaeler,   & CHRO', ""James O'Leary,  ,  and"", 'Preston Haskell']","Large (1,000-4,999 Employees)"
Synchrony Financial,synchrony.com,Public,,2003,SYF,,"Stamford, Connecticut, US",Connecticut,Stamford,XXLarge ($1B+),['Financial services'],"['Payment systems', 'Credit cards']",,,"['Margaret M. Keane', 'Brian Doubles', '']","XXLarge (10,000+ Employees)"
"NOZA, Inc.",nozasearch.com,,,,,,,,,,,,,,,
Westborn Market,westbornmarket.com,,,1963,,,,,,,['Supermarket chain'],,,,"['Andrew and George Anusbigian', 'Mark Anusbigian, president']",
LaRosa%27s Pizzeria,larosas.com,Privately held company,,1954,,,"Cincinnati, Ohio, US",Ohio,Cincinnati,Large ($100MM-$200MM),['Restaurant'],"['(over 40 selections)', 'pasta', 'Italian-American cuisine', 'Pizza', ' other']",,,"['Buddy LaRosa', 'president', 'chief culinary officer', 'Donald ""Buddy"" LaRosa', ')', 'Mark LaRosa', 'emeritus', 'Michael LaRosa', 'founder', 'chairman', 'chairman of the board']",
Pro-Vision,provisionusa.com,Private,,2003,,,"Byron Center, MI, United States",Michigan,Byron Center,,,"['Dashcams', 'Body cameras', 'Backup cameras']",,,,
Genzyme,sanofigenzyme.com,Subsidiary,['Sanofi'],,,,"Cambridge, Massachusetts, United States",Massachusetts,Cambridge,XXLarge ($1B+),['Biotechnology'],"['Fabrazyme', 'More Complete Product List', 'Synvisc', 'Renagel', 'Cerezyme']",,,"['Bill Sibold, Paul Hudson']","XXLarge (10,000+ Employees)"
American International Health Alliance,aiha.com,Non-profit organisation,,1992,,,"Washington, DC",Washington,Washington,,,,,,,
Lebanon Valley College,lvc.edu,Private college,,,,,,,,,,,,,,
FICO,fico.com,Public company,,1956,FICO,,"Bozeman, Montana, US",Montana,Bozeman,XXLarge ($1B+),['Computer'],"['Computer software', 'FICO Score']",,['FICO'],"['Bill Fair', 'William Lansing', '(co-founder)', 'Earl Isaac']","Large (1,000-4,999 Employees)"
YRC Worldwide Inc.,myyellow.com,Public,,1929,YELL,,"Overland Park, Kansas, USA",Kansas,Overland Park,XXLarge ($1B+),['Transportation'],,"['YRC Freight', 'Reddaway', 'New Penn', 'Holland', 'HNRY Logistics']","['YRC Worldwide, Inc.', 'Yellow Roadway Corporation']","['Darren Hawkins', 'G.C. ""Cleve"" Harrell', 'A.J. Harrell', 'U.S. Treasury']","XXLarge (10,000+ Employees)"
CMS Energy,cmsenergy.com,Public company,,1886,CMS,,"Jackson, Michigan, US",Michigan,Jackson,XXLarge ($1B+),['Energy'],"['Natural gas', 'Electricity']",['Consumers Energy'],,"[')', 'Chief Financial Officer', 'Rejji Hayes', 'Garrick Rochow']","XLarge (5000-10,000 Employees)"
Spangles (restaurant),spanglesinc.com,Family-owned fast food chain,,1978,,,"Wichita, Kansas, USA",Kansas,Wichita,Medium-Small ($10MM- $50MM),['Restaurants'],"['Fast food', ' including Gourmet Supreme hamburgers, flatbread pita wraps, Western Burgers, and soft serve desserts']",,,"['Dale Steven (owner), Craig Steven (owner), Rene Steven (director of operations and spokesperson)', 'Dale Steven, and Craig Steven']",
Brand.com,brand.com,Incorporation (business),,2009,,True,"Philadelphia, Pennsylvania, United States",Pennsylvania,Philadelphia,,['Public Relations'],,,['Reputation Changer'],"['Dave Armon', 'Michael Zammuto']",
Hawaiian Tropic,hawaiiantropic.com,,,,,,,,,,,,,,['Edgewell Personal Care'],
Chevron Corporation,chevron.com,Private Subsidiary Public,['Standard Oil Co.'],1879,CVX,,"San Ramon, California, US",California,San Ramon,XXLarge ($1B+),"['Energy', 'Oil and gas']","['Gulf', 'Havoline', 'Chevron', 'natural gas', 'Gasoline', 'Texaco', 'Caltex', 'Techron', 'Calso', 'petrochemicals', 'other']","['Chevron Phillips Chemical', 'Chevron Sri Lanka']","['Pacific Coast Oil Co.', 'Standard Oil of California', 'ChevronTexaco Corporation']",['Mike Wirth'],"XXLarge (10,000+ Employees)"
Windstream Holdings,windstream.com,Subsidiary of Local Insight Regatta Holdings,"['Alltel', 'Windstream', 'Local Insight Media Holdings']",1984,,True,"Little Rock, Arkansas, US",Arkansas,Little Rock,XXLarge ($1B+),['Telephone directory'],['Print Yellow Pages and Online Yellow Pages ads'],,['The Berry Company'],['Anthony W. Thomas'],"XXLarge (10,000+ Employees)"
Gillette News-Record,gillettenewsrecord.com,Daily newspaper,,1904,,,"W nd St, Gillette, WY",Wyoming,Gillette,,,,,,,
Big B Drugs,,,,1968,,True,"Birmingham, Alabama",Alabama,Birmingham,,['Drugstore'],,,,,
Daimler Truck North America,daimler-trucksnorthamerica.com,LLC,['Daimler Truck AG'],2008,,,"Portland, Oregon, United States",Oregon,Portland,,['Automotive'],"['Commercial vehicles', 'diesel engines', 'Financial services']","['Thomas Built Buses', 'Detroit Diesel', 'Western Star Trucks', 'Freightliner']",['Freightliner LLC'],"['John O’Leary,  ']",
Kashi (company),kashi.com,Subsidiary,"[""Kellogg's""]",1984,,,"Solana Beach, California, United States",California,Solana Beach,,"['entrées', 'waffles', 'snacks', 'Breakfast cereals']",,,,"['Philip Tauber', 'Gayle Tauber']",Medium-Small (50-199 Employees)
Group O,groupo.com,Private,,1974,,,"Milan, Illinois, US",Illinois,Milan,XLarge ($200MM-$1B),['Business process outsourcing'],"['Marketing', 'Business Analytics', 'Supply Chain Management', 'Packaging']",,,"['Robert Ontiveros', 'Gregg Ontiveros', '& Founder']","Large (1,000-4,999 Employees)"
Southern Family Markets,cswg.com,Grocery Store,,2005,,,"Birmingham, Alabama",Alabama,Birmingham,,['Retail'],"['Dairy, deli, frozen foods, grocery, meat, produce, general merchandise, pharmacy, health and beauty care']",,,,
Getty Images,gettyimages.com,Public company,,1995,GETY,,"Seattle, Washington, US",Washington,Seattle,,"['media', 'web design', 'Publishing', 'Stock photography']","['audio', 'Digital images', 'video', 'royalty-free images, audio, and video', 'Rights-managed']","['Getty Productions', 'Unsplash', 'Photos.com', 'iStock']","['PhotoDisc', 'Getty Communications']","['Mark Getty', 'Craig Peters (', 'Getty family', 'Jonathan Klein', 'Jennifer Leydon ()']",
PRS Guitars,prsguitars.com,Private,,1985,,,"Stevensville, Maryland, United States",Maryland,Stevensville,,['Musical instruments'],"['guitars', 'acoustic', 'amplifiers', 'Electric', 'basses']",,,['Paul Reed Smith'],
Ralphs,ralphs.com,Subsidiary,"['Federated Department Stores', 'Yucaipa Companies', 'Fred Meyer', 'Kroger']",1873,,,"W Artesia Blvd, Compton, California, United States",California,Artesia,XXLarge ($1B+),['Retail (Supermarket)'],"['liquor', ' grocery, meat', 'produce', 'Bakery, dairy', 'pharmacy', 'snacks', 'delicatessen', 'frozen foods', ' seafood and']",,,"['John Sparkenbach (  of Operations)', 'Tom Schwilke ( )', 'George Ralphs', 'Laura Peters (  of Merchandising)']","XXLarge (10,000+ Employees)"
Informatics Corporation of America,icainformatics.com,Private,,2005,,,"West End Avenue, Suite , Nashville, Tennessee",Tennessee,West End,,['Healthcare'],"['CareAlign', '(R)']",,,,Medium-Small (50-199 Employees)
APS Payroll,apspayroll.com,Private,,1996,,,"Shreveport, Louisiana",Louisiana,Shreveport,,"['Software as a service', 'Human resource management system', 'Payroll processing']","['Dimensions Time Tracking', 'Performance Management', 'Payroll', 'Payroll Tax Compliance', 'Time & Attendance', 'HR', 'Scheduling', 'Benefits Administration', 'Recruiting & Onboarding', 'Employee & Manager Self Service']",,,"['Aaron Johnson', 'Joe Chevalier     of Finance']",
R.J. Corman Railroad Group,rjcorman.com,Private,,1973,,,"Nicholasville, Kentucky, US",Kentucky,Nicholasville,XLarge ($200MM-$1B),['Rail transport'],"['Signaling', 'Emergency Services', 'Switching', 'Dinner Train', 'Storm Team', 'Distribution Services', 'Locomotive', 'Short Line Railroad Operations', 'Equipment Rental', 'Track Construction/Maintenance', 'Material Sales']",,,"['Richard J. Corman', 'Ed Quinn']","Large (1,000-4,999 Employees)"
Earlyshares,earlyshares.com,Private company,,2011,,,"Miami, United States",,Miami,,['Crowdfunding'],,,,"['Steve Temes,  ; Heather Schwarz, ; Mark Gillanders, /; Renee Caputi, Co-Founder; Jonatan Alava, ; Stephen Cornick, Board Member; Maurice Lopes, Founder;']",
"Arlington, Virginia",arlingtonva.us,,,1801,,,,,,,,,,,,
Jones Apparel Group,,Private,,,,,"New York City, United States",New York,New York,,['Fashion'],,,,['Sidney Kimmel'],"XLarge (5000-10,000 Employees)"
Idaho Power,idahopower.com,Subsidiary,['IDACORP'],1915,,,"Boise, Idaho, United States",Idaho,Boise,,"['Electrical generation, transmission, distribution']",,,,"['Lisa Grow,   and Chief   Officer, IDACORP, Inc. and Idaho Power']","Large (1,000-4,999 Employees)"
Realogy,anywhere.re,Public,,2006,HOUS,,"Madison, New Jersey, US",New Jersey,Madison,XXLarge ($1B+),['Real estate'],['Real estate services'],"['Anywhere Advisors', 'Coldwell Banker', 'ERA Real Estate', 'Better Homes and Gardens Real Estate', 'Anywhere Brands', 'Anywhere Integrated Services', 'Cartus', 'Century 21', ""Sotheby's International Realty"", 'Corcoran Group']",,"['Michael J. Williams ( )', 'Ryan Schneider (']","XLarge (5000-10,000 Employees)"
Discount Tire,discounttire.com,Private company,,1960,,,"Scottsdale, Arizona, US",Arizona,Scottsdale,XXLarge ($1B+),['Independent Tire Retailer'],"['Tires', 'Wheel and tire installation, rotation, and balancing, flat tire repair, seasonal tire changeover, tire inspection, sensor service', ' tire pressure monitoring sensors, lug nuts, windshield wiper blades', '(new and used)', 'wheels']",,,"['Christian Roe', 'Ed Kaminski', 'Dean Muglia', ' founder', 'Bruce Halle', 'Michael Zuieback,   chairman']","XXLarge (10,000+ Employees)"
ALCO Stores,alcostores.com,Discount store,,1901,,True,"Coppell, Texas",Texas,Coppell,,['Retail'],"['Clothing, footwear, bedding, furniture, jewelry, beauty products, electronics, market, housewares']",,,,
Detroit Diesel,demanddetroit.com,Subsidiary,['Daimler Truck North America'],1938,,,"Detroit, Michigan, United States",Michigan,Detroit,,['Automotive'],"['diesel engines', 'Heavy-duty']",,"['General Motors', 'Detroit Diesel-Allison Division']","['(as of 2000)', 'Daimler Truck AG']","Large (1,000-4,999 Employees)"
Sony Pictures Entertainment,sonypictures.com,Subsidiary,['Sony Entertainment'],1987,,,"West Washington Boulevard, Culver City, California, United States",Washington,West,XXLarge ($1B+),['Entertainment'],"['Online games', 'Motion pictures', 'syndication', 'Licensing', 'Mobile entertainment', 'Television programs', 'Film production', 'Digital distribution', 'Video on demand', 'Television production', 'distribution']","['Home Entertainment', 'Television Group', 'Motion Picture Group']","['Columbia Pictures Entertainment, Inc.']","['Tony Vinciquerra', 'Ravi Ahuja ( , Global Television Studios and Corporate Development)', 'Sony Corporation of America', 'Sony Group Corporation', 'Jon Hookstratten (     , Administration & Operations)', 'Stacy Green (      & Chief People Officer)']","XLarge (5000-10,000 Employees)"
Hydroflask,hydroflask.com,,,2009,,,"Bend, Oregon, US",Oregon,Bend,,['Drinkware'],"['coffee mugs', 'coolers', 'Water bottles', 'tumblers']",,,"['Helen of Troy Limited', 'Travis Rosbach', 'Cindy Weber']",
"Stride, Inc.",,Publicly held,,2000,LRN,,"Herndon, Virginia, US",Virginia,Herndon,Micro ($0-$1MM),['Education'],"['Education software, textbooks, workbooks']",,,"['Ronald J. Packard', 'Nathaniel BGreene', 'James J. Rhyu']","Large (1,000-4,999 Employees)"
Genentech,gene.com,Subsidiary,['Roche'],1976,,,"South San Francisco, California, United States",California,South San Francisco,XXLarge ($1B+),['Biotechnology'],"['Herceptin', 'Pulmozyme', 'Perjeta', 'Alecensa', 'Xeloda', 'Lucentis', 'Boniva', 'Polivy', 'Tarceva', 'Cathflo Activase', 'Kytril', 'Erivedge', 'Anaprox', 'Nutropin', 'Ocrevus', 'Rituxan', 'EC-Naprosyn', 'Activase', 'Zenapax', 'Kadcyla', 'Invirase', 'Venclexta', 'Cotellic', 'TNKase', 'Gazyva', 'Zelboraf', 'Actemra', 'Hemlibra', 'Avastin', 'Valium', 'Xofluza', 'Romazicon', 'Esbriet', 'Naprosyn', 'Xenical', 'Cytovene', 'Rocephin', 'Tecentriq', 'CellCept', 'Klonopin', 'Valcyte', 'Xolair', ' Roferon-A', 'Tamiflu', 'Pegasys', 'Fuzeon']",,,"['Alexander Hardy', 'Ed Harrington', '(  of Genentech Board of Directors,  of Roche Group)', 'Aviv Regev', 'Severin Schwan', 'Sean Johnston', 'Anna Batt', 'Levi Garraway', 'Stephen Williams']","XXLarge (10,000+ Employees)"
Vons,vons.com,Subsidiary,"['Household Finance Corporation', 'Safeway', 'Albertsons']",1906,,,"Fullerton, California, US",California,Fullerton,XXLarge ($1B+),"['/', 'grocery', 'Retail']","['Supermarket', 'Bakery, dairy, deli, frozen foods, general grocery, meat, pharmacy, produce, seafood, snacks, liquor, floral']",['Pavilions'],"[""Von's Groceteria"", ""Von's Grocery Company.""]","['(vice chairman)', 'Charles Von der Ahe', 'Bob Gordon (  and general counsel)', 'Robert G. Miller', 'B. Kevin Turner', 'chairman']","XXLarge (10,000+ Employees)"
CFM International,cfmaeroengines.com,Joint venture,"['GE Aerospace', 'Safran Aircraft Engines']",1974,,,"Neumann Way, Cincinnati, Ohio, US",Ohio,Cincinnati,,['Aerospace'],"['engines', 'Gas turbine']",,,['Gaël Méheust'],
The Collins Companies,collinswood.com,Private,,1855,,,"Portland, Oregon, USA",Oregon,Portland,,['Forest products'],,,,"['Eric Schooler,  ;', 'Cherida Collins Smith, Chair of the Board']",Medium-Large (500-999 Employees)
Del Taco,deltaco.com,Subsidiary,['Jack in the Box'],1964,,,"Commercentre Drive, Lake Forest, California, US",California,Lake Forest,XLarge ($200MM-$1B),"['Restaurants', 'Fast food']","['Mission burritos', 'Tacos', 'Mexican style cuisine', 'Milkshakes', 'Hamburgers', 'Salads', 'French fries']",,,"['Ed Hackbarth', 'John D. Cappasola, Jr. (', 'David Jameson']","XLarge (5000-10,000 Employees)"
Smarsh,smarsh.com,Private,['K1 Investment Management'],2001,,,"SW th Ave, Portland, Oregon, United States",Oregon,Portland,Large ($100MM-$200MM),"['software as a service', 'Software']",['Archiving software'],,,"['Kim Crawford Goodman', 'Stephen Marsh', 'General Counsel', 'Suzanne Rudnitzki', 'Rohit Khanna', 'Greg Vesper', 'Tom Padgett', 'Brian Agle', 'Laurie Ehrbar', 'Goutam Nadella', 'CCO', 'Neva DePalma', 'Founder']",Medium-Large (500-999 Employees)
Smith %26 Wesson,smith-wesson.com,Public,,1852,SWBI,,"Springfield, Massachusetts, United States",Massachusetts,Springfield,XLarge ($200MM-$1B),['Manufacturing'],"['ammunition', 'Firearms']",,,"['Mark P. Smith', 'Horace Smith', 'Robert L. Scott', 'Deana L. McPherson', 'Daniel B. Wesson']","Large (1,000-4,999 Employees)"
Landmark Communications,,Private,,1905,,,"Granby Street, Norfolk, Virginia",Virginia,Granby,,['Media'],,"['Landmark Community Newspapers', 'Dominion Enterprises']",,"['Frank Batten', 'Charles Watkins,   and', 'Samuel L. Slover']",
AECOM,aecom.com,Public company,,1910,ACM,,"Dallas, Texas, US",Texas,Dallas,XXLarge ($1B+),"['Architecture', 'Urban Planning', 'Construction', 'Engineering']","['Building design', 'Construction management', 'Architectural engineering']",,['AECOM Technology Corporation'],"['W. Troy Rudd', 'Douglas W. Stotlar', 'Lara Poloni ( )']","XXLarge (10,000+ Employees)"
